BENE_GEO_DESC,TOT_MDCR_STDZD_PYMT_PC,TOT_MDCR_PYMT_PC,BENE_AVG_RISK_SCRE,IP_CVRD_STAYS_PER_1000_BENES,ER_VISITS_PER_1000_BENES,MA_PRTCPTN_RATE,BENE_DUAL_PCT,BENES_TOTAL_CNT,BENES_FFS_CNT
MI,0.7182554792652337,0.6530546559641567,0.5667989417989419,0.8315806412037041,0.6177377444614385,0.4292960983082891,0.285776762719277,0.03340688282165828,0.03219422267192819
MN,0.5750609786096349,0.579049421068239,0.42592592592592604,0.6118787355007822,0.550747576847666,0.5004563382118061,0.39625346226736,0.016275232313821063,0.011646813575715672
MO,0.7315226826625213,0.593882390405068,0.5224867724867723,0.8118624047497285,0.5695962985029461,0.3906010626161218,0.17802128383303373,0.019784774364060044,0.020788282219219082
MS,0.8826950514276076,0.6592444908688838,0.5410052910052914,0.8064304050439439,0.7196139325249831,0.22960331171159423,0.47348024685358847,0.009521453862619886,0.012863752602571329
MT,0.3882620339462103,0.3439877941860624,0.19047619047619047,0.3307048064975773,0.32141675551288706,0.21586019752925453,0.23065989601049608,0.0033974811701549053,0.004527570366619988
NC,0.6412704192010482,0.5449345477032658,0.5099206349206349,0.6304195992576054,0.6169469801839569,0.3952703803904951,0.26902424801982605,0.03187339276890147,0.03384774359689485
ND,0.5472561547053193,0.4682507909003134,0.34325396825396837,0.52760541240035,0.4042984525580755,0.18536702630463833,0.1961708537829826,0.0018128711186797062,0.0023789751751597107
NE,0.6485951719339823,0.5583474501797315,0.36243386243386255,0.6119715777841404,0.3385253260390293,0.20829394699957623,0.16983332523446215,0.005323134666975987,0.007355493504289584
NH,0.4604966364192128,0.4815085694505671,0.1990740740740744,0.47941805826797235,0.47858530128556676,0.16820952443039214,0.12133728558238976,0.004524383135868917,0.006112211157177931
NJ,0.8191043985480261,0.9365461677341355,0.5853174603174607,0.793452694269154,0.4302551849914067,0.28799830502949897,0.04396472131784823,0.02611078778523927,0.030536993287297105
NM,0.4458231331981547,0.3919195751711767,0.3439153439153442,0.32287412545903127,0.3657655505261259,0.4141391505590144,0.43476359395500264,0.006472878162096195,0.006298106620594748
NV,0.7749300209251017,0.8063520711166129,0.4656084656084656,0.7628980104097083,0.5400517694035716,0.427181459630366,0.15100345011905336,0.008189857402609864,0.007588212095000131
NY,0.7371955114891474,0.9109918911650533,0.5687830687830691,0.7296835250171603,0.3688339735563331,0.45791909775416406,0.45341124447252035,0.058822171297774485,0.05260910617199349
